tecnologia,titulo,empresa,ubicacion,salario_medio,demanda_total
Python,Senior Developer Python  IA,Common MS,España,,4718
Python,Python Developer,Axiom Software Solutions Limited,España,,4718
Python,Python Developer,Multiplica Talent,España,,4718
Python,Python Developer,N Consulting Ltd,Madrid,,4718
Python,Python Developer,Plexus Tech,"Madrid, Comunidad de Madrid",117500.0,4718
Python,Python Developer,Grupo NS,España,,4718
Python,Python Analyst,Virtusa,España,,4718
Python,Python Analyst,Virtusa,Madrid,,4718
Python,Desarrollador Python,Capgemini,España,,4718
Python,Desarrollador Python,Capgemini,Madrid,,4718
Python,Senior Python Developer,FYST,España,,4718
Python,Senior Python Developer,Multiplica Talent,España,,4718
Python,Junior Python Developer,Gameloft,Barcelona,,4718
Python,Responsable Tecnico Python,Krell Consulting & Training,Cantabria,,4718
Python,Desarrollador/a Python,Arelance,España,25500.0,4718
Python,Python Software Engineer,Tupl,Málaga,,4718
Python,Python Developer (inglés),Paradigma Digital,"Pozuelo de Alarcón, Madrid",,4718
Python,Analista Programador Python,Kenos Technology,Madrid,,4718
Python,Senior Python Developer,Outpost24 Group,Barcelona,,4718
Python,Empleo de Python,STANDBY.es,España,,4718
Python,Software Engineer PYTHON,Manpower Trabajo Temporal,Madrid,,4718
Python,Senior Python Engineer,Archlet,Málaga,,4718
Python,Senior Python Engineer,Jordan martorell s.l.,"Barcelona, Cataluña",80000.0,4718
Python,DESARROLLADOR PYTHON JUNIOR,"Hola Consultores, SL",Barcelona,,4718
Python,Desarrollador/a Python,Capitole,"Madrid, Comunidad de Madrid",100000.0,4718
Python,SENIOR PYTHON DEVELOPER,"Hola Consultores, SL",Barcelona,,4718
Python,MDM - PYTHON PROGRAMMER,,Málaga,32000.0,4718
Python,Senior Python Engineer,Archlet,"Madrid, Comunidad de Madrid",80000.0,4718
Python,Senior Python Engineer,Archlet,"Barcelona, Cataluña",80000.0,4718
Python,Senior Python Developer,King,España,,4718
Python,Senior Python Developer,SlashMobility,"Madrid, Comunidad de Madrid",,4718
Python,Senior Python Engineer,Archlet,España,,4718
Python,Senior Python Developer,Luxoft,España,,4718
Python,Desarrollador Python/Odoo,Visiotech España,España,,4718
Python,Middle Python Engineer,N-iX,España,,4718
Python,Java/Python Engineer,Grupo NS,España,,4718
Python,Software Engineer (Python),Lynx Tech,"Madrid, Comunidad de Madrid",117500.0,4718
Python,Python Tech Lead,Veeva Systems,España,,4718
Python,Senior Python Engineer,Planner5D,España,,4718
Python,"Software Engineer, Python",YouGov,España,,4718
Python,Python Engineer (Remote),Veeva Systems,Málaga,,4718
Python,Software Engineer (Python),Prima,Madrid,,4718
Python,Senior Python Engineer,N-iX,España,,4718
Python,"Data Engineer, Python",Bitpanda,España,,4718
Python,Desarrollador Python Senior,Babel,Sevilla,,4718
Python,Analista Programador/a Python,PROCESIA,Madrid,,4718
Python,Full Stack Developer (Python),Axiom Software Solutions Limited,España,57.5,4718
Python,Senior Python Backend Engineer,ClearML,España,,4718
Python,Senior Software Engineer (Python),Booksy,España,,4718
Python,Programador/a Python/FastApi,Grupo NS,España,,4718
Python,Desarrollador Fullstack (python  Angular),Tecdata,"Madrid, Comunidad de Madrid",80000.0,4718
Python,Senior Python Software Engineer,Tupl Inc.,"Málaga, Andalucía",80000.0,4718
Python,Analista Programador/a Python,NetCheck,España,,4718
Python,Python Developer (Alerting & Monitoring),Xenon7,Madrid,,4718
Python,"Programador/a Python, hibrido",CAS TRAINING,España,,4718
Python,Analista Programador/a Python,Procesia Proyectos y Servicios,España,,4718
Python,Data Scientist Python. Viladecans,Grupo NS,España,,4718
Python,Programador/a Python – Ciberseguridad,i2 Smart,"Castell-Platja d'Aro, Girona",,4718
Python,Senior Python Software Engineer,IT Partner,"Madrid, Comunidad de Madrid",100000.0,4718
Python,Senior Software Engineer - Python,Openchip & Software Technologies,España,80000.0,4718
Python,"AI Developer (Python, Pyspark)",Arelance,Madrid,34500.0,4718
Python,Senior Python Software Engineer,Tecdata,"Madrid, Comunidad de Madrid",100000.0,4718
Python,Data Engineer (Python). Teletrabajo,,España,,4718
Python,Backend Developer (Python - Django),SenseisTalent,Barcelona,,4718
Python,Python Developer - Data & Analytics,AXON-Networks,"Alcobendas, Madrid",,4718
Python,Python Engineer II (Contract),Fliff,Barcelona,,4718
Python,Python Engineer II (Contract),Fliff,Madrid,,4718
Python,Senior/Lead Python Engineer,N-iX,España,,4718
Python,Senior Backend Python Engineer,M47 - AI Company,"Barcelona, Cataluña",80000.0,4718
Python,"Software Engineer, AI (Python)",G2i Inc.,Valencia,,4718
Python,Senior Python Backend Engineer,ClearML,Madrid,,4718
Python,"Senior Software Engineer, Python",YouGov,España,,4718
Python,Desarrollador/a python jr,FHIOS,Barcelona,,4718
Python,"Senior Software Engineer, Python",YouGov,"Barcelona, Cataluña",80000.0,4718
Python,Backend Tech Lead (Python),Singularu,Valencia,,4718
Python,Senior Python Engineer (Contract),Fliff,"Barcelona, Cataluña",80000.0,4718
Python,Senior Python Engineer (Contract),Fliff,Barcelona,,4718
Python,Senior Python Engineer (Contract),Fliff,Madrid,,4718
Python,Senior Python Engineer (Contract),Fliff,"Madrid, Comunidad de Madrid",80000.0,4718
Python,Frontend Developer Python-Odoo,Icompplus Electronics,"Leganés, Madrid",,4718
Python,Senior Backend Python Engineer,M47 Labs,Barcelona,,4718
Python,Sr. Backend Developer (Python),Datamaran,Valencia,,4718
Python,Senior Software Engineer (Python),CHEP,"Madrid, Comunidad de Madrid",100000.0,4718
Python,Senior Python Cloud Developer,,Madrid,55000.0,4718
Python,Senior Backend Python Engineer,M47labs,"Barcelona, Cataluña",80000.0,4718
Python,Senior Python Cloud Developer,,Madrid,50000.0,4718
Python,Technical Lead Backedn (Python),Parser Limited,España,,4718
Python,Python Software Development Engineer,M47 Labs,España,,4718
Python,Python Software Development Engineer,M47 Labs,Madrid,,4718
Python,Devops Engineer With Python,Lantek,"Álava, País Vasco",,4718
Python,Lead Backend Engineer (Python),N-iX,España,,4718
Python,Senior Backend Engineer – Python,Contentsquare,España,,4718
Python,Data Analyst (Python & SQL) - French Proficient Speaker,IQVIA,Madrid,,4718
Python,Senior Software Engineer (Python) - OPS00037,Dev.Pro,España,,4718
Python,Senior Software Engineer (Python/AWS),LocalStack,España,,4718
Python,Freelance Machine Learning Engineer (Python),Mindrift,España,,4718
Python,Programador/a junior python – IA,domestiko.com,Barcelona,,4718
Python,Arquitecto/a Backend Java & Python,Krell Consulting & Training,España,,4718
Python,Programador/a Python. Hibrido Barcelona,Grupo NS,España,,4718
Python,Programador/a Java-Python-Angular,Digital Talent Agency,Málaga,33000.0,4718
C programming language,Senior Software Engineer,,España,,42
C programming language,Senior Software Engineer,,España,,42
C programming language,SOHO Firmware Manager,HP,España,,42
C programming language,Controls Engineer,,España,,42
C programming language,Software Engineer,,España,,42
C programming language,Junior Compiler Engineer,Openchip And Software Technologies SL,"Esplugues de Llobregat, Barcelona",,42
C programming language,Senior Compiler Engineer,Openchip And Software Technologies SL,"Esplugues de Llobregat, Barcelona",,42
C programming language,Staff Compiler Engineer,Openchip And Software Technologies SL,"Esplugues de Llobregat, Barcelona",,42
C programming language,Senior Infrastructure Engineer - Cross-Platform Leadership,Facebook,"Madrid, Comunidad de Madrid",80000.0,42
C programming language,Senior Software Engineer – Go & Kubernetes,Lawrence Harvey,"Barcelona, Cataluña",80000.0,42
C programming language,Software Engineer,Auren Personas,Madrid,,42
C programming language,Dynamics 365 Business Central Developer (They/She/He),Glovo,España,,42
C programming language,(Senior) Site Reliability Engineer - Plattform Engineering - STACKIT (m/f/d),Schwarz Dienstleistung KG,"Barcelona, Cataluña",80000.0,42
C programming language,Software Engineer (Leadership) - Infrastructure,Meta,Madrid,,42
C programming language,Senior Electronic Engineer,SET Europa,Barcelona,,42
C programming language,Aerial Delivery Software Engineer,Airbus,"Getafe, Madrid",,42
C programming language,Software Systems Development (microcontrollers & FreeRTOS),Clue,"Alhaurín de la Torre, Málaga",,42
C programming language,Site Reliability Engineer - Platform Engineering - STACKIT (m/f/d),Schwarz IT Barcelona,"Barcelona, Cataluña",137500.0,42
C programming language,Software Systems Development (microcontrollers  Málaga ·,Clue Technologies,"Málaga, Andalucía",80000.0,42
C programming language,Embedded Software Engineer,Airbus Defence and Space,"Getafe, Madrid",80000.0,42
C programming language,Software Systems Development Intern (microcontrollers & FreeRTOS),Clue,"Alhaurín de la Torre, Málaga",,42
C programming language,Software Engineer (Leadership) - Infrastructure,Facebook,"Madrid, Comunidad de Madrid",80000.0,42
C programming language,Senior Robotics Engineer,,Barcelona,,42
C programming language,Senior Robotics Engineer,,Madrid,,42
C programming language,Senior Software Engineer - Software Quality Assurance (SQA) - Embedded Software Testing,Analog Devices,España,,42
C programming language,Discover I 2026-2027 | Machine Learning-Based Predictions Of Crack Growth On Aeronautical Alloys,Airbus,Málaga,,42
